1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-13
2, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-13
3, Об.-орiєнт.прогр. (лаб),доц. Злобiн Г.Г.,313,Управл. IТ проектами (лаб),ас. Каськун О.Д.,11,Вiвторок, ФеС-13
4, Iноземна мова (пр),ас. Потичко С.I.,122,Iноземна мова (пр),Плахотник Н.В.,213,Вiвторок, ФеС-13
5, Фiзвиховання (лекц), NULL, Сп-кс, NULL, NULL, NULL, Вiвторок, ФеС-13
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-13
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеС-13
2, Алг.та структ.даних (лаб),ас. Кучеренко О.I.,7, NULL, NULL, NULL, Середа, ФеС-13
3, Вища математика (пр),доц. Петрук Т.М.,406, NULL, NULL, NULL, Середа, ФеС-13
4, Iноземна мова (пр),ас. Потичко С.I.,128,Iноземна мова (пр),Плахотник Н.В.,213,Середа, ФеС-13
5, Алг.та структ.даних (лаб),ас. Кучеренко О.I.,6, NULL, NULL, NULL, Середа, ФеС-13
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеС-13
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеС-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-13
2, Управл. IТ проектами (лаб),ас. Каськун О.Д.,11,Об.-орiєнт.прогр. (лаб),доц. Злобiн Г.Г.,313,Четвер, ФеС-13
3, Вища математика (пр),доц. Петрук Т.М.,407, NULL, NULL, NULL, Четвер, ФеС-13
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-13
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-13
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-13
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеС-13
2, Вища математика (лекц),доц. Зелiско Г.В.,128, NULL, NULL, NULL, Пятниця, ФеС-13
3, Управл. IТ проектами (лекц),доц. Ненчук Т.М.,2, NULL, NULL, NULL, Пятниця, ФеС-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеЛ-11
2, Вища математика (лекц),доц. Мильо О.Я.,7, NULL, NULL, NULL, Понедiлок, ФеЛ-11
3, Фiз.осн.електрон. (лекц),проф. Демкiв. Т.М.,4, NULL, NULL, NULL, Понедiлок, ФеЛ-11
4, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеЛ-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеЛ-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеЛ-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеЛ-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеЛ-11
3, Арх.комп. i прогр. (лаб),доц. Слободзян Д.П.,4, NULL, NULL, NULL, Вiвторок, ФеЛ-11
4, Iноземна мова (пр),доц. Шандра Н.А.,407, NULL, NULL, NULL, Вiвторок, ФеЛ-11
